time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file
2014-11-08T16:15:37.948,1.76824,1.92038,0.45374,0.11986,40.84667,34,20,14,294,148.13684,74.89079,14.6932,-87.30972,38.16265,14693.20411,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-08T17:22:08.911,1.50272,1.45106,0.39379,0.05297,56.02555,54,34,20,296,155.3296,73.91563,17.2614,-87.22788,38.15267,17261.39505,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-08T17:39:48.149,1.56957,1.12017,0.41579,-0.04002,42.55605,43,19,24,297,155.44422,78.74903,19.40215,-87.22553,38.19618,19402.15063,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-08T18:19:27.163,1.33684,1.26713,0.36806,0.05888,47.99371,47,28,19,300,153.08344,75.82268,21.25143,-87.25309,38.17022,21251.43229,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-09T18:02:46.240,1.30706,1.23214,0.27936,0.04369,33.46339,34,20,14,326,146.32968,91.15172,6.44348,-87.32701,38.30939,6443.4774,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-09T19:29:57.790,1.23654,0.80811,0.31772,-0.01572,29.99765,30,17,13,328,146.32266,84.37737,21.95266,-87.32847,38.24838,21952.6589,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T13:20:08.866,1.19306,0.85693,0.22097,-0.01155,21.9893,22,12,10,348,144.23723,82.20721,17.48073,-87.35273,38.22917,17480.72555,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T17:44:45.165,0.93659,0.5092,0.36211,-0.04247,14.92697,15,11,4,353,193.89348,2.81548,21.06788,-86.80709,37.50501,21067.87962,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T19:04:51.041,1.72754,0.79245,0.32622,-0.00287,28.79999,29,16,13,356,157.33837,72.66032,14.55165,-87.20525,38.14102,14551.65298,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T21:50:59.345,1.21802,0.9318,0.21151,-0.0141,26.50319,27,14,13,361,143.68983,84.4837,17.73692,-87.35852,38.24976,17736.91614,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T21:33:50.865,1.55933,1.10508,0.37245,-0.0272,27.65568,28,12,16,362,153.13632,78.30089,21.9177,-87.25196,38.19253,21917.70305,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T21:26:39.910,1.56977,0.90973,0.34248,-0.02098,21.91126,22,10,12,363,153.81599,76.94407,22.08069,-87.2445,38.1802,22080.6883,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T21:37:09.557,1.4174,0.67555,0.33802,-0.03485,20.32958,22,17,5,364,167.35385,-17.31283,20.09476,-87.11169,37.32891,20094.76116,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-10T22:08:03.485,0.3549,2.06409,0.17721,-0.11287,19.99805,17,11,6,367,194.77151,-4.60874,37.85705,-86.79913,37.43797,37857.04616,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T13:52:10.798,1.52496,0.3745,0.26546,-0.01171,14.73923,15,10,5,384,153.08411,81.10572,19.47313,-87.25196,38.2178,19473.12865,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T14:21:42.160,1.20699,1.28096,0.36043,0.00593,41.37604,40,24,16,386,154.56351,71.17125,14.63995,-87.23721,38.12808,14639.95421,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T19:05:02.504,1.10317,0.9446,0.27119,0.15302,41.0,29,24,5,395,173.66088,-4.17572,13.46761,-87.03747,37.44607,13467.6108,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T21:36:47.437,1.77082,1.69653,0.3604,0.04763,71.89864,64,40,24,398,148.1157,64.90128,12.9938,-87.31202,38.07269,12993.80131,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T21:00:45.612,1.4346,0.72027,0.29436,0.00718,29.83968,29,15,14,399,151.14969,83.22422,18.04698,-87.27359,38.2372,18046.98,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T21:29:33.662,1.35715,0.77636,0.38462,0.08683,36.0,24,21,3,402,168.60775,-15.09591,18.54631,-87.09704,37.34865,18546.30522,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T21:51:54.027,1.23169,0.55553,0.37909,0.00983,24.58088,25,20,5,403,176.29963,-14.31001,16.64606,-87.01008,37.3543,16646.05821,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-11T22:06:01.729,1.36023,0.70132,0.43966,0.02828,27.3708,27,21,6,407,182.67636,-11.71505,12.06382,-86.93749,37.37643,12063.81775,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-12T17:33:11.425,1.21057,0.6917,0.22717,-0.03723,21.99767,22,13,9,430,152.68812,80.63361,17.66212,-87.25658,38.21362,17662.11993,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-12T19:10:35.372,1.89308,0.70592,0.46632,0.03333,24.67752,25,16,9,435,155.62948,74.02991,17.6292,-87.22444,38.15364,17629.20089,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-12T21:22:33.650,1.31424,1.45204,0.3096,0.00964,53.6511,49,34,15,440,146.17696,80.63763,26.72851,-87.3309,38.21472,26728.50995,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-12T21:28:11.977,1.13483,0.54376,0.1978,-0.00115,21.98675,22,10,12,442,153.38907,82.63949,16.00563,-87.24815,38.23156,16005.6341,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-12T21:50:53.700,1.36846,0.76975,0.28823,-0.01778,20.92593,21,18,3,443,176.32147,-15.69527,18.2957,-87.01016,37.34182,18295.69926,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-12T22:09:26.826,1.32404,3.0457,0.27835,-0.48654,17.0,16,13,3,447,170.52108,-6.97152,0.0,-87.07358,37.42147,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-13T14:14:42.980,1.25084,1.15583,0.3507,0.00299,43.29173,42,31,11,466,151.24351,75.83315,19.65396,-87.27408,38.17062,19653.96153,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-13T19:00:09.555,1.31894,0.66146,0.17817,-0.0021,21.99133,22,14,8,476,144.39193,84.39715,13.94726,-87.35052,38.24887,13947.26275,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-13T19:08:56.162,1.47137,1.00859,0.37224,0.04772,29.9495,30,13,17,477,156.49298,82.64059,18.07573,-87.21271,38.23104,18075.72954,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-13T21:38:11.436,1.27401,1.48346,0.23742,-0.26775,55.0,36,29,7,484,177.10756,-9.2012,11.72299,-86.99974,37.40016,11722.99179,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-13T21:40:53.185,1.1128,0.65413,0.23937,-0.02177,17.76469,18,12,6,485,167.08992,-15.91305,17.33053,-87.11435,37.34157,17330.52914,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T12:00:09.731,1.04169,0.94993,0.23525,0.00297,12.36092,13,12,1,507,-22.30342,104.00114,0.0,-89.25544,38.43669,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T18:39:22.350,1.42087,0.63561,0.29792,-0.0121,21.80662,22,17,5,517,143.55648,84.43924,12.95233,-87.36005,38.24938,12952.3334,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T18:10:49.398,1.58201,1.9763,0.40041,0.04129,48.73006,45,19,26,518,154.22804,77.76138,23.5632,-87.23962,38.18749,23563.20359,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T19:18:25.601,1.37995,0.97167,0.38288,-0.061,43.7243,44,30,14,522,147.77503,81.77441,21.92978,-87.31242,38.2247,21929.77736,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T20:54:42.884,1.33063,0.83556,0.35709,0.01297,31.76396,32,19,13,525,153.34872,73.50862,16.81035,-87.25056,38.14934,16810.34526,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T20:48:23.170,1.60449,0.93437,0.43698,-0.0725,46.76303,47,34,13,526,154.06467,72.73477,20.10058,-87.24256,38.14225,20100.58042,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T21:29:25.728,1.3981,1.39322,0.25965,-0.05027,19.27725,20,13,7,530,164.8856,-13.52973,16.63702,-87.13869,37.36343,16637.02143,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-14T21:55:29.781,0.68813,1.43974,0.2881,0.04698,11.72587,11,10,1,533,152.5835,-15.68513,0.0,-87.27796,37.34612,0.0,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-15T00:27:34.821,0.43183,0.47662,0.21384,-0.3854,12.0,11,10,1,537,99.32898,134.69266,24.03549,-87.85816,38.70792,24035.49015,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-15T10:19:53.036,1.265,2.8229,0.3328,-0.52475,71.0,40,39,1,550,59.74667,50.16135,26.81222,-88.32024,37.94998,26812.22364,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-15T15:36:19.228,1.43662,1.31995,0.40133,-0.10202,47.70457,48,30,18,558,144.15614,77.56461,28.64111,-87.35459,38.18737,28641.10841,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-15T19:22:38.585,1.26564,2.3563,0.2989,-0.07064,34.57213,31,17,14,566,180.81044,1.90809,14.91835,-86.95521,37.49949,14918.35127,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-15T21:04:55.827,1.05502,1.23955,0.21564,0.18355,33.0,20,18,2,571,166.18371,-12.29724,14.1309,-87.12376,37.3743,14130.89532,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-16T18:04:12.518,1.33108,1.26639,0.45918,-0.08393,49.54068,49,35,14,597,147.60872,80.11022,26.11403,-87.31467,38.20974,26114.03405,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-16T21:55:30.727,1.27675,1.13056,0.386,0.03646,53.50508,52,44,8,601,145.23615,78.95718,28.67213,-87.34198,38.19974,28672.12768,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T16:46:01.656,1.34799,1.43906,0.39857,0.02105,41.29859,41,25,16,623,155.27947,72.77219,18.81475,-87.2287,38.14238,18814.75089,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T17:14:56.736,1.30016,1.39463,0.23528,-0.1883,17.77054,19,12,7,625,148.15698,84.94437,12.49525,-87.30741,38.25319,12495.24731,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T20:14:42.491,0.9363,0.45436,0.30276,-0.00113,15.32924,17,12,5,629,149.42508,76.213,4.87809,-87.29475,38.17435,4878.08907,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T20:50:21.272,1.43811,0.51239,0.13307,0.00101,22.71387,23,13,10,630,152.74136,82.92786,13.09252,-87.25548,38.23427,13092.52129,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T21:51:14.046,1.46178,1.14922,0.33555,-0.25343,22.5032,21,13,8,634,148.23188,83.7589,20.70746,-87.3068,38.2425,20707.46436,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T21:41:58.748,1.00679,0.8218,0.23808,0.0036,14.73444,15,12,3,635,180.73354,-9.94259,7.29221,-86.95898,37.39278,7292.21085,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-17T21:44:38.044,1.23142,0.37896,0.23868,-0.00499,12.7763,14,11,3,636,166.71198,-15.83897,13.00709,-87.1186,37.3423,13007.08513,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-18T16:31:29.470,1.58928,0.78508,0.24133,-0.05764,19.62893,20,15,5,659,145.49434,83.21964,16.39438,-87.33817,38.23809,16394.38074,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-18T21:31:14.255,1.0282,1.21304,0.23797,0.27473,32.0,21,16,5,674,170.18599,-14.55862,10.58281,-87.07911,37.3532,10582.8094,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T18:38:45.218,1.01015,0.5507,0.17239,-0.02677,19.0,19,10,9,701,143.10384,85.48668,16.03808,-87.36501,38.25888,16038.08432,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T19:12:12.344,1.65585,1.58431,0.35157,-0.00768,41.84628,41,21,20,705,148.91008,84.09595,23.47631,-87.29898,38.24542,23476.31414,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T19:40:38.737,1.37274,1.13672,0.27652,-0.01262,32.3703,32,24,8,706,152.2252,72.20369,14.67689,-87.26365,38.13777,14676.88668,merged_gamma_catalog_2014_Nov_Dec.csv
2014-11-19T21:36:05.173,1.71472,1.27256,0.45917,0.03331,75.40359,66,47,19,711,144.50858,66.22985,21.23268,-87.35285,38.08523,21232.68071,merged_gamma_catalog_2014_Nov_Dec.csv
