time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km),longitude,latitude,depth(m),source_file,time_central
2014-11-08T11:59:44.513,0.81925,2.74396,0.81979,-1.26942,64.8732,43,43,0,287,136.97776,25.05836,41.0,-87.44644,37.71556,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T05:59:44.513
2014-11-08T12:59:42.666,0.98016,2.56149,0.83439,-0.60842,63.0,39,39,0,288,127.40288,13.15715,41.0,-87.55708,37.60974,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T06:59:42.666
2014-11-09T01:59:42.741,1.06835,2.86018,0.65083,-1.21602,77.0,46,46,0,308,113.17537,28.54981,41.0,-87.71581,37.75025,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T19:59:42.741
2014-11-09T02:59:42.456,1.02271,2.74914,0.68155,-1.20887,67.0,36,36,0,309,130.23455,17.03715,41.0,-87.52433,37.64429,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T20:59:42.456
2014-11-09T03:59:42.345,1.12862,2.86551,0.73236,-1.27455,70.0,40,40,0,310,109.48594,44.31307,41.0,-87.75529,37.8927,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T21:59:42.345
2014-11-09T04:59:42.756,1.1296,2.832,0.74596,-0.77251,67.0,41,41,0,311,117.38905,25.2013,41.0,-87.66854,37.71956,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T22:59:42.756
2014-11-09T05:59:42.624,1.17161,2.70771,0.78914,-1.31089,70.0,43,40,3,312,115.76696,30.76227,41.0,-87.68605,37.76986,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-08T23:59:42.624
2014-11-09T06:59:44.164,1.07258,2.71162,0.77996,-0.41258,68.0,43,43,0,313,133.90095,23.19862,41.0,-87.48167,37.69926,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-09T00:59:44.164
2014-11-09T07:59:42.431,1.08893,2.99826,0.82388,-1.09119,64.0,40,40,0,314,118.45853,30.02427,41.0,-87.65563,37.76287,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-09T01:59:42.431
2014-11-09T09:59:42.989,1.11022,2.88073,0.78023,-1.41578,70.0,42,42,0,315,121.13074,24.37123,41.0,-87.62625,37.7116,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-09T03:59:42.989
2014-11-09T10:59:43.058,1.0331,2.85268,0.78127,-1.11128,68.0,42,42,0,316,124.3335,27.39197,41.0,-87.58942,37.73838,41000.0,merged_gamma_catalog_2014_Nov_Dec.csv,2014-11-09T04:59:43.058
